ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,현대,1,NAVER,1,[단독] 와이파이 때문에 집회 연 현대차노조,https://www.hankyung.com/economy/article/201912092053i
ENTERPRISE,현대,1,NAVER,2,[단독] 현대차그룹 중추 우유철 현대로템 부회장 전격 퇴임,http://news.mk.co.kr/newsRead.php?year=2019&no=1026933
ENTERPRISE,현대,1,NAVER,3,"현대·기아차, 전기차·PHEV·수소차 판매 비중 ‘쑥’…친환경차 판매의 40%",http://news.heraldcorp.com/view.php?ud=20191209000007
ENTERPRISE,현대,1,NAVER,4,"우유철 현대로템 부회장 용퇴…""후배 경영진 중심 혁신 위해""",http://www.inews24.com/view/1228024
ENTERPRISE,현대,1,NAVER,5,현대글로비스 지역아동센터 ‘희망선물’,http://www.munhwa.com/news/view.html?no=2019120901072939176001
ENTERPRISE,현대,1,NAVER,6,현대차그룹 '정의선 라인' 퍼즐 맞추기,http://www.dailybizon.com/news/articleView.html?idxno=14977
ENTERPRISE,현대,1,NAVER,7,"현대케피코 ""어려운 이웃 위해 써달라""",http://www.kgnews.co.kr/news/articleView.html?idxno=569040
ENTERPRISE,현대,1,NAVER,8,"현대차그룹, 이웃돕기에 250억원 기부",http://www.etnews.com/20191209000251
ENTERPRISE,현대,1,NAVER,9,"현대차그룹, 이웃돕기성금 250억원 전달…17년간 2천840억원",http://yna.kr/AKR20191209069600003?did=1195m
ENTERPRISE,현대,1,NAVER,10,"현대차, 쏘나타 센슈어스 7박 8일 시승 이벤트 실시",http://www.idaegu.co.kr/news/articleView.html?idxno=295570
ENTERPRISE,현대,1,DAUM,1,현대자동차 '현대 차(茶)' 증정 크리스마스 캠페인 실시,http://v.media.daum.net/v/20191209112519173
ENTERPRISE,현대,1,DAUM,2,우유철 현대로템 부회장 용퇴,http://v.media.daum.net/v/20191209185115575
ENTERPRISE,현대,1,DAUM,3,"현대차, 연말맞이 '현대 茶' 증정 이벤트",http://v.media.daum.net/v/20191208125402124
ENTERPRISE,현대,1,DAUM,4,"현대차, 크리스마스 기념 현대 모터스튜디오 방문객 '차' 증정",http://v.media.daum.net/v/20191208124511002
ENTERPRISE,현대,1,DAUM,5,현대오일 '현대스타' 실적 효자될까,http://v.media.daum.net/v/20191205202237350
ENTERPRISE,현대,1,DAUM,6,[단독] 현대차그룹 중추 우유철 현대로템 부회장 전격 퇴임,http://v.media.daum.net/v/20191209101223009
ENTERPRISE,현대,1,DAUM,7,현대 '차' 마셔보세요,http://v.media.daum.net/v/20191208104119311
ENTERPRISE,현대,1,DAUM,8,"현대백화점·현대제철 양궁선수단, 성산포서 금메달 조준",http://v.media.daum.net/v/20191208173639847
ENTERPRISE,현대,1,DAUM,9,현대차가 만든 '현대차(茶)'는 어떤 맛일까?,http://v.media.daum.net/v/20191208100552803
ENTERPRISE,현대,1,DAUM,10,"우유철 현대로템 부회장 퇴임..현대차그룹 ""고문 위촉 예정""",http://v.media.daum.net/v/20191209115408507
ENTERPRISE,현대,1,Google,1,"현대자동차그룹 임원 인사, 하원태 부사장 사장 승진 등",http://www.autoherald.co.kr/news/articleView.html?idxno=36645
ENTERPRISE,현대,1,Google,2,"우유철 현대로템 부회장 퇴임…""대표 중심 경영 위해""",https://biz.chosun.com/site/data/html_dir/2019/12/09/2019120901371.html
ENTERPRISE,현대,1,Google,3,"현대건설, 인천 '힐스테이트 푸르지오 주안' 1915가구 분양",https://biz.chosun.com/site/data/html_dir/2019/12/06/2019120601296.html
ENTERPRISE,현대,1,Google,4,"현대모비스, “사원부터 임원까지” 전 직원 AI 교육",https://www.motorgraph.com/news/articleView.html?idxno=24443
ENTERPRISE,현대,1,Google,5,"현대百, 순직·상해 경찰관 270명 자녀에 4억 장학금",https://biz.chosun.com/site/data/html_dir/2019/12/04/2019120400043.html
ENTERPRISE,현대,1,Google,6,"현대자동차, 쏘나타 센슈어스 7박 8일 시승 이벤트 실시",http://www.newspost.kr/news/articleView.html?idxno=74355
ENTERPRISE,현대,1,Google,7,"CJ제일제당, 가양동 부지 매각대상자 인창개발-현대건설 ...",https://biz.chosun.com/site/data/html_dir/2019/12/06/2019120602835.html
ENTERPRISE,현대,1,Google,8,"'김철욱 15득점' KGC, '오카포 데뷔' 현대모비스 꺾고 4연승",https://www.hankyung.com/sports/article/201912068377Y
ENTERPRISE,현대,1,Google,9,"현대자동차, 현대 茶 2종 증정 크리스마스 캠페인",http://www.gfr.co.kr/news/articleView.html?idxno=14506
ENTERPRISE,현대,1,Google,10,"현대오일, 선박유 브랜드 출시",https://biz.chosun.com/site/data/html_dir/2019/12/06/2019120600084.html
